,Ghost_Size,Eligible_Size,Live_Size,Opt_Exp_Return,Opt_Exp_Variance,Effective_Gross_Exposure,Mean_Innovation_Z,Mean_CUSUM_S_t,Vol_Ratio,Mean_LinUCB_Gate,rebalanced,Live_Realized_Return,Ghost_Realized_Return,Eligible_Realized_Return
2026-01-15,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4480950698793964,2.2,1,-0.00012521457013092707,-0.07439041991971707,-0.09020485828478098
2026-01-16,10.0,1.0,1.0,0.25,0.0018181599003407754,0.25,2.602180768367912,0.0,0.32754359054278037,2.21,1,0.002938910712291243,-0.0016079659541802238,0.07690594891221969
2026-01-20,8.0,2.0,2.0,0.5,0.0022833688784150655,0.5,2.9628300751099346,0.0,0.39923884429991463,2.2,1,-7.292824598026382e-05,0.006697732835828196,-0.21925386864324325
2026-01-21,10.0,1.0,1.0,0.25,0.0010235940616412445,0.25,2.3512093958836466,0.0,1.0657741185647136,1.9100000000000001,1,4.401459072189695e-05,-0.010504442597113584,-0.6125803299935183
2026-01-22,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.499251529392162,1.7000000000000002,1,0.0017271902117650395,0.05544204456457269,-0.1751056617448683
2026-01-23,12.0,2.0,2.0,0.3495822426901164,0.003976545558376486,0.3495822426901164,2.4532277565501364,0.0,1.4969585839580064,1.7166666666666668,1,0.0011074198180485162,0.039907711124135714,0.8348818087870797
2026-01-26,13.0,1.0,1.0,0.25,0.013724616850893436,0.25,2.232244699857533,0.0,1.495854862579191,1.6384615384615384,1,-9.741014380670876e-05,-0.02310987121194452,-0.07136197181269399
2026-01-27,13.0,1.0,1.0,0.25,0.013724616850893436,0.25,2.232244699857533,0.0,1.495854862579191,1.6384615384615384,0,-0.005911324861703204,-0.007041803346904407,-0.4660072465798478
2026-01-28,14.0,2.0,2.0,0.3637756181043666,0.010241299857972506,0.3637756181043666,1.9195223990708334,0.0,1.029886181675835,1.8214285714285714,1,-0.007905670213982585,-0.08338629548029064,-2.520764304461698
2026-01-29,14.0,2.0,2.0,0.3637756181043666,0.010241299857972506,0.3637756181043666,1.9195223990708334,0.0,1.029886181675835,1.8214285714285714,0,-0.0002975504710036603,-0.044800919299086917,-1.1022523702115217
2026-01-30,10.0,2.0,2.0,0.4059436491121809,0.005180142534662348,0.4059436491121809,2.2312280930864103,0.0,0.36128292972844883,2.1350000000000002,1,0.003344844493877508,0.06648460921364863,2.0684419799705807
2026-02-02,10.0,2.0,2.0,0.4059436491121809,0.005180142534662348,0.4059436491121809,2.2312280930864103,0.0,0.36128292972844883,2.1350000000000002,0,-0.0026763102068552147,-0.040734069780467674,-3.5555056910762852
2026-02-03,10.0,2.0,2.0,0.4059436491121809,0.005180142534662348,0.4059436491121809,2.2312280930864103,0.0,0.36128292972844883,2.1350000000000002,0,-0.007073224473095108,-0.0325632535386825,2.894631717036739
2026-02-04,9.0,3.0,3.0,0.5901370293361453,0.0032712702990372023,0.5901370293361453,2.7070007894528714,0.0,0.5170809198438397,2.1222222222222222,1,0.01056105284279818,0.07203673071832117,-0.0141703077611669
2026-02-05,10.0,4.0,4.0,0.6474723068593224,0.003437815315253303,0.6474723068593224,2.319073606716898,0.0,0.7101574542594925,1.7600000000000002,1,0.001744899108075737,-0.038077930096292456,-0.10924896512262727
2026-02-06,8.0,3.0,3.0,0.5912827192665502,0.006110484415390495,0.5912827192665502,2.1162269803671823,0.0,0.9811992309382399,1.6375,1,-0.002997560252093301,-0.059942362075999345,0.4331390750604007
2026-02-09,13.0,3.0,3.0,0.5181727946575923,0.0015843041089609188,0.5181727946575923,1.9251681858829135,0.0,1.4816465225853344,1.5576923076923077,1,0.00015948924448538904,-0.024676721721082262,-0.09542283170816901
2026-02-10,11.0,1.0,1.0,0.25,0.005496674641323031,0.25,2.2627432886923255,0.0,1.497937595675159,1.5681818181818181,1,-0.009695033432589595,0.02344136073289116,-0.2108993417117604
2026-02-11,11.0,1.0,1.0,0.25,0.005496674641323031,0.25,2.2627432886923255,0.0,1.497937595675159,1.5681818181818181,0,0.00804926531022021,-0.04952699676264982,0.171163336899381
2026-02-12,7.0,1.0,1.0,0.25,0.010495107623601528,0.25,3.1966128204339292,0.0,1.4131951035147867,1.5,1,0.007384444683000035,-0.0035190045639151846,0.28325279554448635
2026-02-13,8.0,2.0,2.0,0.28943228841487545,0.0010870260924444439,0.28943228841487545,2.7178065586268554,0.0,1.5848441167616891,1.5,1,0.005703084997698005,-0.0010381499770210079,-0.23523639196158552
2026-02-17,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.20572431565435,1.5,1,0.004252734561882132,0.05644560501278084,-0.06789746620699755
2026-02-18,10.0,1.0,1.0,0.25,0.005691446554548081,0.25,1.7315603985142638,0.0,1.2357642974398952,1.535,1,0.0007150376663518365,0.02773885464986603,0.4595107671909977
2026-02-19,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2822674651604953,1.5699999999999998,1,-7.44981618321372e-05,0.04100629042259518,-0.42620973093016856
2026-02-20,16.0,1.0,1.0,0.25,0.0033124240618158077,0.25,2.959273818420551,0.0,1.3276543219796486,1.5656249999999998,1,0.002277537633647464,-0.06679625196785666,-0.2886205880087831
2026-02-23,16.0,1.0,1.0,0.25,0.0033124240618158077,0.25,2.959273818420551,0.0,1.3276543219796486,1.5656249999999998,0,-5.8396641808178273e-05,0.039279352879378227,-0.15891894786904381
2026-02-24,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.999885569774963,1.7150000000000003,1,0.0005183013314720153,-0.013663366136710042,-0.40739020139778315
2026-02-25,11.0,5.0,5.0,0.9526572765578725,0.007234084147773139,0.9526572765578725,2.0029225212379798,0.0,1.1731444363147168,1.5954545454545455,1,-0.0015304553403725496,-0.05940328313012899,1.3900126997266375
2026-02-26,12.0,3.0,3.0,0.47199218304204027,0.002318863763282624,0.47199218304204027,2.242116345368364,0.0,1.161171411559231,1.6500000000000001,1,-0.0002612422726785413,0.011307481985821655,-0.035123356048716636
2026-02-27,12.0,3.0,3.0,0.47199218304204027,0.002318863763282624,0.47199218304204027,2.242116345368364,0.0,1.161171411559231,1.6500000000000001,0,-0.010512394524304747,0.036515063878358456,-0.283253277272128
2026-03-02,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2290440043025634,1.6875,1,0.0017549531358589388,-0.06698277198502534,-0.08259807859714996
2026-03-03,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2290440043025634,1.6875,0,-0.0001236673426153745,0.0520803051735339,-0.24327986566727655
2026-03-04,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2290440043025634,1.6875,0,0.0,-0.061292541336475326,-0.1317947452907765
2026-03-05,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2290440043025634,1.6875,0,0.0,0.04575974373853575,-0.05193059955909707
2026-03-06,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2290440043025634,1.6875,0,0.0,0.09153191007967654,-0.8318096618069034
2026-03-09,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2290440043025634,1.6875,0,0.0,-0.028799807818559398,1.1353135035695288
2026-03-10,6.0,1.0,1.0,0.25,0.002059784274728538,0.25,1.742462430405567,0.0,1.1201119935539758,1.75,1,0.0,-0.07432869491883021,-0.10672014119080697
2026-03-11,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.05560301377868,1.75,1,-6.661695714083038e-05,0.0007520697914422669,0.8588829217263165
2026-03-12,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.05560301377868,1.75,0,-0.00030262035255024244,0.07313255296431675,-0.14509625883470578
